date,user,is_retweet,is_quote,text,quoted_text,,,,,
5/21/2020 4:09,jungkookstyles1,TRUE,FALSE,RT @skjlouder: no podemos olvidar la sonrisita de yoongi al ver al pingüino gigante a su lado, estoy muy triste :( https://t.co/zTFN73l6EM,,,,,
5/21/2020 4:09,rolandtaty1,TRUE,FALSE,RT @JLMelenchon: #SANOFI : «Pas trop d’insolence, ne vous moquez pas trop des Français. Ils vous ont payé, surpayé, engraissé, gavé, et à l…,
5/21/2020 4:09,FTwist,FALSE,TRUE,Quel scandale d'état !,#remdesivir Gilead aurait dépensé la somme colossale de 65 millions de dollars sur les 7 dernières années pour asseoir son influence en France. Les arrosés : noms connus anti-Raoult, organismes de formation, médias.... et PARLEMENTAIRES (!!!) 🤮🤮🤮,,,
https://t.co/8wzz3wbM3K,,,,,,,,,,
5/21/2020 4:09,SalafiKhalid,TRUE,FALSE,RT @biohussein: 6 لقاحات قد تكون جاهزة في هذا العام:,,,,,,
,,,,,,,,,,
1- لقاح جامعة أكسفورد (بريطاني),,,,,,,,,,
,,,,,,,,,,
2- لقاح شركة Moderna الامريكية,,,,,,,,,,
(mRNA-1273),,,,,,,,,,
,,,,,,,,,,
3- لقاح…,,,,,,,,,,
5/21/2020 4:10,AccordIlil,TRUE,FALSE,RT @JLMelenchon: #SANOFI : «Pas trop d’insolence, ne vous moquez pas trop des Français. Ils vous ont payé, surpayé, engraissé, gavé, et à l…,
5/21/2020 4:10,SchnittGoldener,FALSE,FALSE,@martini_ganz @HannoSettele https://t.co/sVJ8jIRHLa    Schutzimpfung: Präklinisch kaum getestet, neuartig, experiementell, genetisch. mRNA-Vakzin, DNA-Vakzin, Vektoren. Studienlage bisher dünn. Neue Impfstofftechnologie, die nun via Eilzulassung durchgedrückt werden soll.
5/21/2020 4:10,Michael32112332,FALSE,TRUE,Americans should get ACCURATE info. re: treatment options if they/family member tests pos 4 CV.  HCQ➡ TARGETTED BY DS CRONIES AS BAD? DONT BELIEVE THEIR LIES. READ ARTICLE. DJT TAKING IT AS PROOF. HCQ HAS CURED MAJORITY, NO  SERIOUS ADVERSE EVENTS. FAUCI TIED 2 $ FR: GILEAD/MRNA,https://t.co/EVwkUTPNKW,,,,
5/21/2020 4:10,margpompom,TRUE,FALSE,RT @DocteurGonzo5: GILEAD a également volé via son médicament contre l’Hepatite C 700 millions d’€ à l’assurance maladie française. Voir au…,,,,,,
5/21/2020 4:10,Deeplooo,TRUE,TRUE,RT @tryingalways: Trump possède une participation dans Sanofi, fabricant du Plaquenil.,And there it is. https://t.co/U5bAmLe0bT,,,,
5/21/2020 4:10,alexsupernerd,FALSE,FALSE,@baspaternotte Heel bizar dit.,,,,,,
Het lijkt erop dat heel de wereld weet dat dit middel werkt ,,,,,,,,,,
In Belgie bijv. wordt dit ook gebruikt, met wat disclaimers, maar eigenlijk wordt dit al gebruikt voor bijv. reuma.,,,,,,,,
https://t.co/S4653EEt1X,,,,,,,,,,
5/21/2020 4:10,laiguillon11,TRUE,FALSE,RT @JLMelenchon: #SANOFI : «Pas trop d’insolence, ne vous moquez pas trop des Français. Ils vous ont payé, surpayé, engraissé, gavé, et à l…,
5/21/2020 4:10,KimDeaBueno,TRUE,FALSE,RT @prayingmedic: 19) In news of the weird: the Wuhan Institute of Virology (the lab suspected of releasing covid-19) has applied for a pat…,,,,,,
5/21/2020 4:10,HoneyBoi0w0,FALSE,FALSE,#NAME?, sino que era UN PINGÜINO HUMANIZADO DISFRAZADO DE LEOPARDO DE LAS NIEVES!!! Adjunto imagen del traje xD Me ponía en esquinas del mapa a buscar dueño xd Ya luego empecé a dibujar y plasmé todo mi lado furro en papel 👌🏻 + https://t.co/YHMY2k6tYq,,,,,
5/21/2020 4:10,CynthiaGsosa,TRUE,FALSE,RT @herrerobono: El acuerdo más dañino para el peor momento de nuestro país.  +paro -flexibilidad empresas +cierre empresas -ingreso de imp…,,,,,,
5/21/2020 4:10,CharismaAlasta1,TRUE,FALSE,RT @pmgeorgic: mRNA Vaccines and Next Generation Testing https://t.co/qmGI5MegNu the danger is more then you think @realDonaldTrump @Harris…,,,,,,
5/21/2020 4:11,AlnabhanZahran,TRUE,FALSE,RT @VaxchoiceKw: روبرت كينيدي جونيور يصرح حول لقاح موديرنا الجديد #لكوفيد_١٩ ,,,,,,
🔴 اللقاح يستخدم تقنية mRNA الجديدة,,,,,,,,,,
🔴اللقاح ممول من بيل غيتس,,,,,,,,,,
🔴…,,,,,,,,,,
5/21/2020 4:11,CailinasEirinn,TRUE,FALSE,RT @CanuckPaesano: @CailinasEirinn You must’ve offended Commander Derek Sloan Waterford to earn this punishment. Backsliding isn’t permitte…,,,,,,
5/21/2020 4:11,Michael75252993,TRUE,FALSE,RT @GSKUS: We’ve joined forces with Sanofi in an unprecedented vaccine collaboration to fight #COVID19. #CNBC #HealthyReturns,,,,,,
